# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface

 
  CCTV-1高清,igmp://239.255.2.2:8000
  容城电视,igmp://239.255.2.178:9056

  临城电视,igmp://239.255.3.50:9764

  柏乡电视,igmp://239.255.3.53:9776

  涿鹿电视,igmp://239.255.3.145:9952

  徐水电视,igmp://239.255.3.147:9960

  大名电视,igmp://239.255.3.149:9968

  威县电视,igmp://239.255.2.32:8180

  临西电视,igmp://239.255.3.173:9512

  冀州电视,igmp://239.255.2.179:9062

  安平电视,igmp://239.255.2.181:9074

  景县电视,igmp://239.255.2.183:9086

  饶阳电视,igmp://239.255.2.185:9098

  深州电视,igmp://239.255.2.187:9110

  武强电视,igmp://239.255.2.66:8384

  阜城电视,igmp://239.255.3.44:9740

  故城电视,igmp://239.255.3.41:9728

  枣强电视,igmp://239.255.3.45:9744

  清河电视,igmp://239.255.2.191:9134

  广宗电视,igmp://239.255.2.195:9158

  武安电视,igmp://239.255.2.196:9164

  宁晋电视,igmp://239.255.2.198:9176

  平乡电视,igmp://239.255.2.200:9188

  鸡泽电视,igmp://239.255.2.201:9194

  隆尧电视,igmp://239.255.3.33:9688

  广平电视,igmp://239.255.2.202:9200

  南和电视,igmp://239.255.2.203:9206

  临漳电视,igmp://239.255.2.204:9212

  内丘电视,igmp://239.255.2.205:9218

  涉县电视,igmp://239.255.2.206:9224

  迁安电视,igmp://239.255.2.207:9230

  馆陶电视,igmp://239.255.2.209:9242

  乐亭电视,igmp://239.255.2.210:9248

  南宫电视,igmp://239.255.2.215:9278

  丰润电视,igmp://239.255.2.221:9314

  咪咕1,igmp://239.255.3.220:10252

  咪咕2,igmp://239.255.3.221:10256

  咪咕3,igmp://239.255.3.222:10260

  咪咕4,igmp://239.255.3.223:10264

  咪咕5,igmp://239.255.3.224:10268

  咪咕6,igmp://239.255.3.225:10272

  咪咕7,igmp://239.255.3.226:10276

  咪咕8,igmp://239.255.3.227:10280

  咪咕9,igmp://239.255.3.228:10284

  咪咕10,igmp://239.255.3.229:10288

  咪咕11,igmp://239.255.3.230:10292

  咪咕12,igmp://239.255.3.231:10296

  咪咕13,igmp://239.255.3.232:10300

  咪咕14,igmp://239.255.3.233:10304

  咪咕15,igmp://239.255.3.234:10308

  咪咕16,igmp://239.255.3.235:10312

  咪咕17,igmp://239.255.3.236:10316

  咪咕18,igmp://239.255.3.237:10320

  咪咕19,igmp://239.255.3.238:10324

  咪咕20,igmp://239.255.3.239:10328

  咪咕21,igmp://239.255.3.240:10332

  咪咕22,igmp://239.255.3.241:10336

  咪咕23,igmp://239.255.3.168:9492

  欢笑剧场真4K,igmp://239.255.3.170:9500

  无快速换台测试,igmp://239.255.2.101:8594

  羽毛球专区,igmp://239.255.3.205:10192

  主视角-4K,igmp://239.255.2.223:9326

  主视角-高清,igmp://239.255.2.224:9332

  临时直播频道2,igmp://239.255.2.225:9338

  临时直播频道3,igmp://239.255.2.226:9344

  临时直播频道4,igmp://239.255.2.227:9350

  临时直播频道5,igmp://239.255.2.228:9356

  粤TV-4K,igmp://239.255.2.230:9368

  九屏直播频道,igmp://239.255.2.231:9374

  临时直播,igmp://239.255.2.232:9380







